step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X2X3,1.9436580256435947,445.0737045119959,1310.1447822896625,10.0
2,X1X2X3,0.7370547262841638,1106.2141956021633,1921.5545967533722,15.0
3,X2X3,0.04090125437085784,1310.1447822896625,1363.7313472927442,10.0
4,X1X2X3,0.03399974442123007,1921.5545967533722,1986.8869619344266,15.0
5,X2X3,0.017599299748889036,1363.7313472927442,1387.7320640507055,10.0
6,X1X2X3,0.010308022391064285,1986.8869619344266,2007.3678372265604,15.0
7,X1X2X3,0.010724122361834133,2007.3678372265604,2028.8950955381883,15.0
8,X1X2X3,0.01851086368569714,2028.8950955381883,2066.451696084275,15.0
9,X2X3,0.008884958641889682,1387.7320640507055,1400.0620060458202,10.0
10,X1X2X3,0.004887097175904738,2066.451696084275,2076.5506463323522,15.0
11,X2X3,0.004486427350096071,1400.0620060458202,1406.3432825215746,10.0
12,X2X3,0.005702395683700637,1406.3432825215746,1414.362808385627,10.0
13,X1X2X3,0.003219043407234964,2076.5506463323522,2083.235153000218,15.0
14,X1X2X3,0.002591068687755002,2083.235153000218,2088.6329583743873,15.0
15,X1X2X3,0.00226570976453353,2088.6329583743873,2093.3651944627027,15.0
16,X1X2X3,0.002122812700043739,2093.3651944627027,2097.8090166833376,15.0
